No,Judul Inovasi,Pemda,Admin OPD,Inisiator,Nama Inisiator,Bentuk Inovasi,Jenis,Asta Cipta,Urusan Utama,Urusan lain yang beririsan,Kematangan,Tahapan Inovasi,Tanggal Input,Tanggal Penerapan,Tanggal Pengembangan,Koordinat,Video,Link Video,lat,lon,Admin OPD Grouped
1,POP SURGA (Penghantaran Obat Pasien Sumberglagah),Provinsi Jawa Timur,Dinas Kesehatan UPT. RSK Sumberglagah Mojokerto (jatimprov.dinkes.uptsumberglagahmjk),Kepala Daerah,"drg. SHINTA SAWITRI, M.Kes ",Inovasi pelayanan publik,Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",kesehatan,pekerjaan umum dan penataan ruang,85,Penerapan,2022-07-22,2023-11-29,,"-7.60739065953564, 112.54078722662341",Ada,https://www.youtube.com/watch?v=o_TedznOu3U,-7.60739065953564,112.5407872266234,Dinas Kesehatan Upt
2,PHEC (Pre Hospital Emergency Care),Provinsi Jawa Timur,Dinas Kesehatan UPT. RSK Sumberglagah Mojokerto (jatimprov.dinkes.uptsumberglagahmjk),OPD,"drg. SHINTA SAWITRI, M.Kes ",Inovasi pelayanan publik,Non Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",pendidikan,kesehatan,92,Penerapan,2022-07-22,2023-06-24,,"-7.6073109183015, 112.54072288029913",Ada,https://youtu.be/TJaII4_0UkI,-7.6073109183015,112.54072288029911,Dinas Kesehatan Upt
3,Naskah Dinas Elektronik (NADINE),Provinsi Jawa Timur,Badan Koordinasi Wilayah Pamekasan Provinsi Jawa Timur (jatimprov.bakorwilpamekasan),OPD,"Dra. SUFI AGUSTINI, M.Si",Inovasi tata kelola pemerintahan daerah,Teknologi,"Memperkuat reformasi politik, hukum, dan birokrasi, serta memperkuat pencegahan dan pemberantasan korupsi dan narkoba.",kearsipan,Fungsi Penunjang lainnya sesuai dengan ketentuan peraturan perundang-undangan,110,Penerapan,2023-06-20,2024-12-31,2024-12-31,"-7.158553824257441, 113.48272568540575",Ada,https://drive.google.com/file/d/192dhJGWtC4lDcuxiKw_n5B7iFEPUpgne/view,-7.158553824257441,113.48272568540575,Badan Koordinasi Wilayah Pamekasan Provinsi Jawa Timur (Jatimprov
4,PERMATA ( Pertanian Ramah Lingkungan menuju Masyarakat Tangguh dan Alamiah ),Provinsi Jawa Timur,Dinas Pertanian dan Ketahanan Pangan (jatimprov.dispertanian),OPD,-,Inovasi Daerah lainnya sesuai dengan Urusan Pemerintahan yang menjadi kewenangan Daerah,Digital,-,pertanian,,60,Uji Coba,2023-06-26,2023-09-25,,,Tidak Ada,-,,,Dinas Pertanian Dan Ketahanan Pangan (Jatimprov
5,SIGALON,Provinsi Jawa Timur,Dinas Kesehatan UPT. RS Mata Masyarakat (jatimprov.dinkes.uptmatamasy),OPD,-,Inovasi pelayanan publik,Digital,-,kesehatan,,52,Penerapan,2023-07-10,2023-07-10,,,Ada,https://drive.google.com/file/d/1JKCIqN4TRVL-Om9yFgXMyJYJIPe-DMRa/view?usp=drive_link,,,Dinas Kesehatan Upt
6,e-DESI (Deteksi Hipertensi Secara Mandiri),Provinsi Jawa Timur,Dinas Kesehatan Provinsi Jawa Timur (jatimprov.dinkes),Kepala Daerah,Dinas Kesehatan Provinsi Jawa Timur,Inovasi pelayanan publik,Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",kesehatan,,89,Penerapan,2023-07-12,2023-04-16,,"-7,325387, 112,731079",Ada,https://drive.google.com/drive/folders/1e9zqHYmlrIknOUY2YwUz0VLH5t3zNSnU,-7.0,,Dinas Kesehatan Provinsi Jawa Timur (Jatimprov
7, Si Onde ( aplikaSI ONe Day sErvice ),Provinsi Jawa Timur,Dinas Pekerjaan Umum Bina Marga Provinsi Jawa Timur (jatimprov.pubm),OPD,-,Inovasi pelayanan publik,Digital,-,pekerjaan umum dan penataan ruang,perumahan rakyat dan kawasan permukiman,77,Penerapan,2023-07-14,2023-07-14,,,Ada,https://res3.tuxedovation.com/5ce0f6259e0ff2e37608eacd02f299b3507551f3.jpg,,,Dinas Pekerjaan Umum Bina Marga Provinsi Jawa Timur (Jatimprov
8,SPORTOFOLIO - Portfolio Digital Pembelajaran PJOK di Indonesia,Provinsi Jawa Timur," SMAN 1 SINE, KAB. NGAWI  (jatimprov.dispendik.sman1sine)",ASN,-,Inovasi Daerah lainnya sesuai dengan Urusan Pemerintahan yang menjadi kewenangan Daerah,Digital,-,pendidikan,"kepemudaan dan olah raga,kearsipan,Pendidikan dan Pelatihan,Fungsi Penunjang lainnya sesuai dengan ketentuan peraturan perundang-undangan",0,Penerapan,2023-07-14,2023-07-24,,,Tidak Ada,-,,,Dinas Pendidikan
9,SMANSI-ku - Aplikasi Panduan Informasi Untuk Siswa SMAN 1 SINE,Provinsi Jawa Timur," SMAN 1 SINE, KAB. NGAWI  (jatimprov.dispendik.sman1sine)",ASN,-,Inovasi Daerah lainnya sesuai dengan Urusan Pemerintahan yang menjadi kewenangan Daerah,Digital,-,pendidikan,"komunikasi dan informatika,statistik,Pendidikan dan Pelatihan",0,Penerapan,2023-07-14,2023-07-17,,,Tidak Ada,-,,,Dinas Pendidikan
10,‘E-KOMITE’ SISTEM MONITORING PELAYANAN PARTISIPASI SUMBANGAN MASYARAKAT UNTUK PENINGKATAN  MUTU PENDIDIKAN,Provinsi Jawa Timur,"SMK NEGERI 1 KARE, KAB MADIUN (jatimprov.dispendik.smkn1kare)",ASN,-,Inovasi pelayanan publik,Digital,-,pendidikan,komunikasi dan informatika,0,Penerapan,2023-07-15,2023-09-27,,,Tidak Ada,-,,,Dinas Pendidikan
11,MY FAVORITE TEMPE,Provinsi Jawa Timur,SLB CAHAYA PUTIH (jatimprov.dispendik.slbcahayaputih),OPD,-,Inovasi pelayanan publik,Digital,-,pangan,,11,Penerapan,2023-07-18,2023-05-31,,,Ada,https://www.youtube.com/watch?v=jw9yaiNaNG4,,,Dinas Pendidikan
12,PEMBUATAN KAOS DAN SISIR KAYU INOVASI MODEL TERBARU,Provinsi Jawa Timur," SMK DARUSSALAM, KAB. JOMBANG  (jatimprov.dispendik.smkdarussalam)",OPD,-,Inovasi Daerah lainnya sesuai dengan Urusan Pemerintahan yang menjadi kewenangan Daerah,Non Digital,-,Pendidikan dan Pelatihan,,45,Uji Coba,2023-07-26,2023-05-02,,,Tidak Ada,-,,,Dinas Pendidikan
13,"""Inovasi Terkini dalam Pengolahan Makanan: Menciptakan Kelezatan dan Nutrisi yang Lebih Sehat""",Provinsi Jawa Timur,SMA BINA INSAN MANDIRI (jatimprov.dispendik.smabinainsan),Masyarakat,-,Inovasi Daerah lainnya sesuai dengan Urusan Pemerintahan yang menjadi kewenangan Daerah,Non Digital,-,kesehatan,pertanian,0,Uji Coba,2023-07-28,2023-07-28,,,Tidak Ada,-,,,Dinas Pendidikan
14,"""GURITON"" Yogurt Sari Beton Inovasi Minuman Fermentasi dari Beton Nangka  (Artocarpus Heterophyllus)",Provinsi Jawa Timur,"SMAN 1BABADAN, KAB. PONOROGO  (jatimprov.dispendik.sman1babadan)",OPD,-,Inovasi pelayanan publik,Non Digital,-,pangan,Penelitian dan Pengembangan,60,Inisiatif,2023-07-28,2023-06-28,,,Ada,https://res3.tuxedovation.com/23c34c4d1016e5556c0bcdd2133c0e1b2c5b08de.mp4,,,Dinas Pendidikan
15,APEL BAJA (APLIKASI PELAYANAN BARANG / JASA) Provinsi Jawa Timur,Provinsi Jawa Timur,admin.jawa.timur (iga2025.provinsi.jawa.timur),OPD,"Dr. ENDY ALIM ABDI NUSA, S.IP.,MM",Inovasi Daerah lainnya sesuai dengan Urusan Pemerintahan yang menjadi kewenangan Daerah,Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Perencanaan,Fungsi Penunjang lainnya sesuai dengan ketentuan peraturan perundang-undangan,85,Penerapan,2024-07-05,2023-01-01,,"-6.9937973109231875, 110.42018322343964",Ada,https://drive.google.com/drive/folders/1IrAV1bcdzK5FPqKL8TguwVlFapSb8hk2?usp=sharing,-6.993797310923188,110.42018322343964,Admin IGA 2025
16,SAPA (Semangat Pagi) DP3AK JATIM,Provinsi Jawa Timur,admin.jawa.timur (iga2025.provinsi.jawa.timur),OPD,"Dinas Pemberdayaan Perempuan, Perlindungan Anak dan Kependudukan Provinsi Jawa Timur",Inovasi pelayanan publik,Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",pemberdayaan perempuan dan pelindungan anak,,103,Penerapan,2024-07-06,2023-02-09,,"-7.305852172591745, 112.75893399994982",Ada,https://static2024.tuxedovation.com/fb178d62777dcd8baa65e9602608fa926d28a690.mp4,-7.305852172591745,112.75893399994982,Admin IGA 2025
17,SUPERSINDEN (Sistem Penyusunan Perencanaan Penganggaran Responsif Gender Online),Provinsi Jawa Timur,admin.jawa.timur (iga2025.provinsi.jawa.timur),OPD,"Dinas Pemberdayaan Perempuan, Perlindungan Anak dan Kependudukan",Inovasi tata kelola pemerintahan daerah,Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",pemberdayaan perempuan dan pelindungan anak,Fungsi Penunjang lainnya sesuai dengan ketentuan peraturan perundang-undangan,96,Penerapan,2024-07-06,2023-02-06,2023-02-06,"-7.306011791254176, 112.75894472363208",Ada,https://youtu.be/oz9jIDJ7pac?si=RJ0nMHeGH2GlfJ4W,-7.306011791254176,112.75894472363208,Admin IGA 2025
18, PUTAR PANJI (Jemputan Antar Pasien Jiwa),Provinsi Jawa Timur,admin.jawa.timur (iga2025.provinsi.jawa.timur),ASN,"dr. TAUHID ISLAMY, Sp.OG, Subsp.K.Fm",Inovasi pelayanan publik,Non Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",kesehatan,Fungsi Penunjang lainnya sesuai dengan ketentuan peraturan perundang-undangan,104,Penerapan,2024-07-08,2023-02-07,2023-02-07,"-7.626021176005523, 111.52395787945638",Ada,https://static2024.tuxedovation.com/2ef3f3ca9b03bc7270f88f78521e69032b451fe6.mp4,-7.626021176005523,111.52395787945638,Admin IGA 2025
19,PUAS ( Pulang Dengan Senyuman ),Provinsi Jawa Timur,admin.jawa.timur (iga2025.provinsi.jawa.timur),ASN,"dr. TAUHID ISLAMY, Sp.OG, Subsp.K.Fm",Inovasi pelayanan publik,Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",kesehatan,Fungsi Penunjang lainnya sesuai dengan ketentuan peraturan perundang-undangan,101,Penerapan,2024-07-08,2023-03-01,2023-03-01,"-7.626021176005523, 111.523936421784",Ada,https://static2024.tuxedovation.com/5f93b8c16948ee7f35e9e170b8b33361445400aa.mp4,-7.626021176005523,111.523936421784,Admin IGA 2025
20,DATAJAKA (DARI TABLET JADI KAPSUL),Provinsi Jawa Timur,admin.jawa.timur (iga2025.provinsi.jawa.timur),OPD,"IRENE ETANA PERWITASARI, S.Far, Apt",Inovasi pelayanan publik,Non Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",kesehatan,,98,Penerapan,2024-07-09,2023-01-02,,"-7.81082645272044, 111.99731462478798",Ada,https://static2024.tuxedovation.com/adbc1c50b4e7077b725426d6d4c34f7eeb7bf698.mp4,-7.81082645272044,111.99731462478798,Admin IGA 2025
21,PERGUB JATIM NOMOR 18 TAHUN 2023,Provinsi Jawa Timur,admin.jawa.timur (iga2025.provinsi.jawa.timur),OPD,"Dr. ENDY ALIM ABDI NUSA, S.IP.,MM",Inovasi tata kelola pemerintahan daerah,Non Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",perdagangan,Fungsi Penunjang lainnya sesuai dengan ketentuan peraturan perundang-undangan,102,Penerapan,2024-07-09,2023-05-15,,"-7.245599029554893, 112.73911245227976",Ada,https://drive.google.com/file/d/1YGMDo1feE8GgfkQ7Vi_7JNfehkQ5dcTe/view?usp=sharing,-7.245599029554893,112.73911245227976,Admin IGA 2025
22,SIAPP ( SISTEM INFORMASI PELAYANAN PENDAFTARAN DAN INFOGRAFIS PASCA PELATIHAN ),Provinsi Jawa Timur,admin.jawa.timur (iga2025.provinsi.jawa.timur),OPD,"SIGIT PRIYANTO, ST, MM",Inovasi pelayanan publik,Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",pendidikan,"sosial,tenaga kerja,transmigrasi,Pendidikan dan Pelatihan",96,Penerapan,2024-07-10,2023-04-01,,"-7.324127874455633, 112.74272566892913",Ada,https://static2024.tuxedovation.com/3bfe0157b9aeaf28e535a9f22b35329053b86ffd.mp4,-7.324127874455633,112.74272566892913,Admin IGA 2025
23,INCAR (INFORMASI CAGAR BUDAYA),Provinsi Jawa Timur,admin.jawa.timur (iga2025.provinsi.jawa.timur),OPD,"Dr. HUDIYONO, M.Si.",Inovasi pelayanan publik,Digital,"Memperkuat penyelarasan kehidupan yang harmonis dengan lingkungan, alam, dan budaya, serta peningkatan toleransi antarumat beragama untuk mencapai masyarakat yang adil dan makmur.",kebudayaan,"pariwisata,Fungsi Penunjang lainnya sesuai dengan ketentuan peraturan perundang-undangan",104,Penerapan,2024-07-10,2023-06-30,,"-7.345521995417715, 112.73495933897753",Ada,https://static2024.tuxedovation.com/8d1d2cf2aa55dbe93f9bf792a85b395716033e4a.mp4,-7.345521995417715,112.73495933897752,Admin IGA 2025
24,SI START (Peningkatan Daya Saing IKM Melalui Sistem Informasi Standardisasi dan Star-Up Kreatif),Provinsi Jawa Timur,admin.jawa.timur (iga2025.provinsi.jawa.timur),OPD,"Dr. IWAN, S.Hut., M.M.",Inovasi pelayanan publik,Non Digital,"Meningkatkan lapangan kerja yang berkualitas, mendorong kewirausahaan, mengembangkan industri kreatif, dan melanjutkan pengembangan infrastruktur.","koperasi, usaha kecil, dan menengah","perdagangan,perindustrian,Perencanaan",104,Penerapan,2024-07-15,2023-02-01,2023-02-01,"-7.297272058720501, 112.72998745006159",Ada,https://static2024.tuxedovation.com/4ae9781af2406f0aa41ce4f910bd7865d03ba50d.mp4,-7.297272058720501,112.7299874500616,Admin IGA 2025
25,E-NIKIBANG (Elektronik Klinik Kekayaan Intelektual Kelitbangan),Provinsi Jawa Timur,admin.jawa.timur (iga2025.provinsi.jawa.timur),OPD,"Dr. Andriyanto, SH, M.Kes",Inovasi pelayanan publik,Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Penelitian dan Pengembangan,,111,Penerapan,2024-07-16,2020-02-04,2023-02-08,"-7.329739804814046, 112.72696715064505",Ada,https://static2024.tuxedovation.com/fa18ff5fbcfd4528f4a8f12e2b6bef088a6756a7.mp4,-7.329739804814046,112.72696715064504,Admin IGA 2025
26,APLIKASI JATIM BERDASI (Jawa Timur Berdaya dengan Inovasi),Provinsi Jawa Timur,admin.jawa.timur (iga2025.provinsi.jawa.timur),OPD,"Dr. Andriyanto, SH, M.Kes",Inovasi pelayanan publik,Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Penelitian dan Pengembangan,,111,Penerapan,2024-07-16,2023-03-09,,"-7.329814276746391, 112.72694566707763",Ada,https://www.youtube.com/watch?v=s6dRIGFlt0k&t=18s,-7.329814276746391,112.72694566707764,Admin IGA 2025
27,UMISARI,Provinsi Jawa Timur,admin.jawa.timur (iga2025.provinsi.jawa.timur),OPD,"Dr. NURKHOLIS S.Sos.,Msi,CIPA,CIHM",Inovasi pelayanan publik,Digital,"Meningkatkan lapangan kerja yang berkualitas, mendorong kewirausahaan, mengembangkan industri kreatif, dan melanjutkan pengembangan infrastruktur.",energi dan sumber daya mineral,Fungsi Penunjang lainnya sesuai dengan ketentuan peraturan perundang-undangan,85,Penerapan,2024-07-17,2021-01-15,2023-01-11,"-7.21241862607307, 112.73406669479445",Ada,https://www.youtube.com/watch?v=VSuBZzQitJ8,-7.21241862607307,112.73406669479444,Admin IGA 2025
28,SMEKTA Youth Sociopreneur “Peluang Usaha Scented Candle”,Provinsi Jawa Timur,SMKN 3 Bangkalan (iga2024.provinsi.jawa.timur),ASN,"Indah Kurniawati Anggraini, S.Pd",Inovasi Daerah lainnya sesuai dengan Urusan Pemerintahan yang menjadi kewenangan Daerah,Non Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.","koperasi, usaha kecil, dan menengah","pertanian,perindustrian",45,Penerapan,2024-07-17,2023-02-06,,"-7.041839265996761, 112.71889523792241",Tidak Ada,-,-7.041839265996761,112.7188952379224,Dinas Pendidikan
29,SI SUARIN (Sistem Informasi Surat Keluar Internal),Provinsi Jawa Timur,admin.jawa.timur (iga2025.provinsi.jawa.timur),OPD,"Dra. Vitri Rahmawati,M.Si",Inovasi tata kelola pemerintahan daerah,Digital,"Memperkuat reformasi politik, hukum, dan birokrasi, serta memperkuat pencegahan dan pemberantasan korupsi dan narkoba.",kepemudaan dan olah raga,"kearsipan,Fungsi Penunjang lainnya sesuai dengan ketentuan peraturan perundang-undangan",97,Penerapan,2024-07-18,2023-02-01,,"-7.270549656202959, 112.74517075061453",Ada,https://youtu.be/nxpoEwdV7gg?si=lL7HifAakwW_LZvr,-7.270549656202959,112.74517075061452,Admin IGA 2025
30,Media Visual Komunikasi Anak (MIKA),Provinsi Jawa Timur,SLBN TALUN KAB BLITAR (iga2024.slbn.talun.blitar),OPD,SLB Negeri Talun Kab. Blitar,Inovasi pelayanan publik,Non Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",pendidikan,Pendidikan dan Pelatihan,98,Penerapan,2024-07-19,2023-04-28,,"-8.06949453031924, 112.25347740930431",Ada,https://drive.google.com/file/d/1ASrngeAUgjmc6Mb5hk3XeSzF0mA449Z-/view?usp=sharing,-8.06949453031924,112.25347740930432,Dinas Pendidikan
31,SAMPAH MART SOLUSI EKOLOGI DAN EKONOMI MASA KINI,Provinsi Jawa Timur,SMK Negeri 6 Malang (iga2024.smkn6.malang),Kepala Daerah,SMK NEGERI 6 MALANG,Inovasi pelayanan publik,Teknologi,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",pendidikan,lingkungan hidup,79,Penerapan,2024-07-19,2023-09-19,,"-7.97485719054976, 112.67168803628817",Ada,https://www.youtube.com/watch?v=sqe8OVrhNJ8,-7.97485719054976,112.67168803628816,Dinas Pendidikan
32,"GITARMU RAME AKTIF (keGIatan liTerAsi dan numeRasi MelalUi muRAl, gaME, dan kArtu eduKaTIF)",Provinsi Jawa Timur,SLB NEGERI JENANGAN (iga2024.slb.n.jenangan),ASN,"DIAS SETIYO PRASURANTO, S.Pd.",Inovasi pelayanan publik,Non Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",pendidikan,Fungsi Penunjang lainnya sesuai dengan ketentuan peraturan perundang-undangan,91,Penerapan,2024-07-20,2023-12-11,,"-7.8478794736291375, 111.50178900043778",Ada,https://youtu.be/TZs1FBS7tFk?si=46i819S5nZRNaWGd,-7.8478794736291375,111.50178900043778,Dinas Pendidikan
33,ESTOH BULEH (Ecoprint SMAN 1 Torjun Berdaya Usahakan Lingkungan Hidup). ,Provinsi Jawa Timur,"SMAN 1 TORJUN, KAB. SAMPANG  (jatimprov.dispendik.sman1torjun)",ASN,"RISNANI, M.Pd",Inovasi pelayanan publik,Non Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",pendidikan,lingkungan hidup,105,Penerapan,2024-07-21,2023-01-19,2023-07-17,"-7.156687568880362, 113.20077115227828",Ada,https://www.youtube.com/watch?v=ai3L6n9C9Ag,-7.156687568880362,113.20077115227828,Dinas Pendidikan
34,Satria Brondong (Sukseskan Tiga Gerakan Literasi Perpustakaan Bina Pustaka SMK N 1 Brondong  _,Provinsi Jawa Timur,SMKN 1 Brondong (iga2024.smkn.1.brondong),ASN,Heny Karjanto,Inovasi pelayanan publik,Non Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",pendidikan,perpustakaan,14,Penerapan,2024-07-21,2023-11-13,,"-6.907213420886669, 112.21054344976602",Tidak Ada,-,-6.907213420886669,112.21054344976602,Dinas Pendidikan
35,GITA HARMONI,Provinsi Jawa Timur,SLBN Cerme Gresik (iga2024.slbn.cerme.gresik),OPD,"NUR JANAH, S.Pd, M.Pd.",Inovasi Daerah lainnya sesuai dengan Urusan Pemerintahan yang menjadi kewenangan Daerah,Non Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",pendidikan,kepemudaan dan olah raga,97,Penerapan,2024-07-22,2022-09-21,2023-01-09,"-7.234782494223782, 112.56247063693556",Ada,https://drive.google.com/file/d/1NfgUQRCwCYmjj-QPnAweoCgmELFj-_UK/view?usp=drivesdk,-7.234782494223782,112.56247063693556,Dinas Pendidikan
36,"Legen Tuban (LitErasi, GENeralisasi, dan Teknologi Untuk digitalisasi tuBAN)",Provinsi Jawa Timur,SMK NEGERI RENGEL TUBAN (iga2024.smkn.rengel.tuban),ASN,"TRI ERNI HUDAYAH, S. Pd., M. Pd.",Inovasi pelayanan publik,Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",pendidikan,perpustakaan,95,Penerapan,2024-07-22,2022-04-22,2023-07-10,"-7.054281183411, 112.0344369369327",Ada,"https://drive.google.com/drive/folders/10rxWyBxb6FpjTPROx8lFCyceHA6i8isg, https://youtu.be/7LJCDYkjYFg",-7.054281183411,112.0344369369327,Dinas Pendidikan
37,PROHVOSTU (PERKEMBANGAN PROGRAM VOKASIONAL PERTANIAN SISTEM HIDROPONIK SELADA ORGANIK UNTUK PESERTA DIDIK TUNARUNGU DI SLB KIRANA HATI BUNDA),Provinsi Jawa Timur,SLB Kirana Hati Bunda Kab. Mojokerto (iga2024.slb.kiranahati.bunda.mojokerto),Kepala Daerah,"Miftahul Mufarrihah, S.Pd",Inovasi pelayanan publik,Non Digital,-,pendidikan,,66,Penerapan,2024-07-22,2023-12-18,,,Ada,https://www.youtube.com/watch?v=eOTlPf3HvC8&t=87s,,,Dinas Pendidikan
38,PENGARUH PEMBELAJARAN IPAS TERHADAP KEMANDIRIAN MENGGOSOK GIGI SISWA TUNAGRAHITA,Provinsi Jawa Timur,SLB Putra Mandiri Kab. Mojokerto (iga2024.slb.putra.mandiri.mojokerto),Kepala Daerah,"Anis Ratnaduhita Fatih, S.Pd (Kepala Sekolah SLB Putra Mandiri)",Inovasi Daerah lainnya sesuai dengan Urusan Pemerintahan yang menjadi kewenangan Daerah,Non Digital,-,pendidikan,kesehatan,81,Penerapan,2024-07-22,2023-09-11,,,Ada,https://youtu.be/7bI64jQlxx8?si=huI4bNIR7Fxo9-hc,,,Dinas Pendidikan
39,Meningkatkan Kemampuan Berbicara(Kosa kata) melalui media Audio Visual pada Siswa Tunagrahita di SLB Raudhah Ilmi Farzana,Provinsi Jawa Timur,SLB RAUDHAH ILMI FARZANA Kab. Mojokerto (iga2024.slb.raudhahilmi.farzana.mojokerto),Kepala Daerah,"Dita Prautami Febriani, M.Pd",Inovasi Daerah lainnya sesuai dengan Urusan Pemerintahan yang menjadi kewenangan Daerah,Non Digital,-,pendidikan,sosial,71,Penerapan,2024-07-22,2023-07-17,,,Ada,https://drive.google.com/file/d/11X4pE__P4ZaME9HohK9vBoX9pB7gave8/view?usp=sharing,,,Dinas Pendidikan
40,BATIK CIPRAT UNTUK MENINGKATKAN MOTORIK DAN KONSENTRASI SISWA SLB-ABC PUTRA HARAPAN KADEMANGAN,Provinsi Jawa Timur,"SLB-ABC PUTRA HARAPAN (iga2024.slb.abc.putra,harapan)",Masyarakat,Anindita Rully Andadari,Inovasi pelayanan publik,Non Digital,-,kesehatan,"sosial,pemberdayaan masyarakat dan Desa,kepemudaan dan olah raga,kebudayaan",14,Inisiatif,2024-07-23,2023-09-12,,,Ada,https://drive.google.com/file/d/1GZNgQ9Oo0DCzfxRL-iQ4xB_CNACJwfSS/view?usp=sharing,,,Dinas Pendidikan
41,Motor Pintar Berbasis Smartphone,Provinsi Jawa Timur, SMKS YP 17 BLITAR  (iga2024.smks.yp.17.blitar),Masyarakat,SMKS YP 17 BLITAR,Inovasi Daerah lainnya sesuai dengan Urusan Pemerintahan yang menjadi kewenangan Daerah,Non Digital,-,Penelitian dan Pengembangan,,84,Penerapan,2024-07-23,2023-06-27,,,Ada,https://drive.google.com/file/d/1IBbWIbyYGoMzyDBqAErwQz3MfHIlgDCz/view?usp=sharing,,,Dinas Pendidikan
42,One Semester One Project,Provinsi Jawa Timur,SMA NEGERI 1 KAUMAN TULUNGAGUNG (iga2024.sman1.kauman.tulungagung),ASN,"Agus Joko Santoso, S.Pd",Inovasi pelayanan publik,Digital,-,pendidikan,Pendidikan dan Pelatihan,18,Penerapan,2024-07-23,2023-05-02,2022-08-05,,Ada,https://drive.google.com/file/d/1av6YwDjH84YLpfPvH17J1EbQOibnQQnB/view?usp=sharing,,,Dinas Pendidikan
